Date,Day_of_Week,Lecture_Number,Start_Time,End_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled_Students,Students_Present,Attendance_Percentage,Previous_Lecture_Attendance_Pct,Gap_Since_Previous_Lecture_Hours,Practical_or_Theory,Internal_Test_Week,Assignment_Due,Holiday_Before_After,Weather,Special_Event,Faculty_Experience_Years
18-06-2026,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,72,69.9,,,Practical,No,No,No,Rainy,No,9
18-06-2026,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,81,78.64,69.9,0,Practical,No,No,No,Rainy,No,9
18-06-2026,Thursday,3,10:15:00,11:15:00,Mini Project,F_RSZ,3,MCA,A,Computer Lab,103,92,89.32,78.64,0,Practical,No,No,No,Cloudy,No,15
18-06-2026,Thursday,4,11:15:00,12:15:00,Mini Project,F_RSZ,3,MCA,A,Computer Lab,103,81,78.64,89.32,0,Practical,No,No,No,Rainy,No,15
18-06-2026,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,78,77.23,,,Practical,No,No,No,Rainy,No,9
18-06-2026,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,82,81.19,77.23,0,Practical,No,No,No,Rainy,No,9
18-06-2026,Thursday,3,10:15:00,11:15:00,Mini Project,F_RSZ,3,MCA,B,Computer Lab,101,97,96.04,81.19,0,Practical,No,No,No,Sunny,No,15
18-06-2026,Thursday,4,11:15:00,12:15:00,Mini Project,F_RSZ,3,MCA,B,Computer Lab,101,92,91.09,96.04,0,Practical,No,No,No,Cloudy,No,15
19-06-2026,Friday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,64,62.14,,,Theory,No,No,No,Rainy,No,9
19-06-2026,Friday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,81,78.64,62.14,0,Theory,No,No,No,Sunny,No,9
19-06-2026,Friday,3,10:15:00,11:15:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,A,Computer Lab,103,62,60.19,78.64,0,Theory,No,No,No,Cloudy,Yes,12
19-06-2026,Friday,4,11:15:00,12:15:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,A,Computer Lab,103,74,71.84,60.19,0,Theory,No,No,No,Rainy,No,12
19-06-2026,Friday,5,13:30:00,15:30:00,STQA Practical,F_DPY,3,MCA,A,Computer Lab,103,61,59.22,71.84,1.25,Practical,No,No,No,Cloudy,No,6
19-06-2026,Friday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,66,65.35,,,Theory,No,No,No,Cloudy,No,9
19-06-2026,Friday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,88,87.13,65.35,0,Theory,No,No,No,Sunny,No,9
19-06-2026,Friday,3,10:15:00,11:15:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,B,Computer Lab,101,98,97.03,87.13,0,Theory,No,No,No,Sunny,No,12
19-06-2026,Friday,4,11:15:00,12:15:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,B,Computer Lab,101,67,66.34,97.03,0,Theory,No,No,No,Rainy,No,12
19-06-2026,Friday,5,13:30:00,15:30:00,STQA Practical,F_DPY,3,MCA,B,Computer Lab,101,61,60.4,66.34,1.25,Practical,No,No,No,Sunny,Yes,6
20-06-2026,Saturday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,82,79.61,,,Theory,No,No,No,Cloudy,No,9
20-06-2026,Saturday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,76,73.79,79.61,0,Theory,No,No,No,Rainy,No,9
20-06-2026,Saturday,3,10:15:00,11:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,A,Computer Lab,103,86,83.5,73.79,0,Theory,No,No,No,Cloudy,No,7
20-06-2026,Saturday,4,11:15:00,12:15:00,Data Science & Machine Learning,F_SP,3,MCA,A,Computer Lab,103,83,80.58,83.5,0,Theory,No,No,No,Cloudy,No,8
20-06-2026,Saturday,5,13:30:00,15:30:00,DS & ML Practical,F_MLK,3,MCA,A,Computer Lab,103,66,64.08,80.58,1.25,Practical,No,No,No,Rainy,No,11
20-06-2026,Saturday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,87,86.14,,,Theory,No,No,No,Sunny,No,9
20-06-2026,Saturday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,71,70.3,86.14,0,Theory,No,No,No,Sunny,No,9
20-06-2026,Saturday,3,10:15:00,11:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,B,Computer Lab,101,69,68.32,70.3,0,Theory,No,No,No,Sunny,No,7
20-06-2026,Saturday,4,11:15:00,12:15:00,Data Science & Machine Learning,F_SP,3,MCA,B,Computer Lab,101,92,91.09,68.32,0,Theory,No,No,No,Cloudy,No,8
20-06-2026,Saturday,5,13:30:00,15:30:00,DS & ML Practical,F_MLK,3,MCA,B,Computer Lab,101,86,85.15,91.09,1.25,Practical,No,No,No,Sunny,No,11
22-06-2026,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,71,68.93,,,Theory,No,No,No,Sunny,No,9
22-06-2026,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,63,61.17,68.93,0,Theory,No,No,No,Rainy,No,9
22-06-2026,Monday,3,10:15:00,11:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,71,68.93,61.17,0,Theory,No,Yes,No,Cloudy,No,6
22-06-2026,Monday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,A,Computer Lab,103,68,66.02,68.93,0,Theory,No,No,No,Cloudy,No,7
22-06-2026,Monday,5,13:30:00,15:30:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,A,Computer Lab,103,69,66.99,66.02,1.25,Theory,No,Yes,No,Sunny,No,12
22-06-2026,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,67,66.34,,,Theory,No,No,No,Sunny,No,9
22-06-2026,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,64,63.37,66.34,0,Theory,No,No,No,Cloudy,No,9
22-06-2026,Monday,3,10:15:00,11:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,57,56.44,63.37,0,Theory,No,No,No,Rainy,No,6
22-06-2026,Monday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,B,Computer Lab,101,63,62.38,56.44,0,Theory,No,No,No,Rainy,No,7
22-06-2026,Monday,5,13:30:00,15:30:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,B,Computer Lab,101,53,52.48,62.38,1.25,Theory,No,No,No,Rainy,No,12
23-06-2026,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,81,78.64,,,Theory,No,No,No,Cloudy,No,9
23-06-2026,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,90,87.38,78.64,0,Theory,No,No,No,Sunny,No,9
23-06-2026,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,A,Computer Lab,103,90,87.38,87.38,0,Theory,No,No,No,Sunny,No,8
23-06-2026,Tuesday,4,11:15:00,12:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,76,73.79,87.38,0,Theory,No,No,No,Rainy,No,6
23-06-2026,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,MCA,A,Computer Lab,103,80,77.67,73.79,1.25,Theory,No,No,No,Cloudy,No,4
23-06-2026,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,68,67.33,,,Theory,No,No,No,Rainy,No,9
23-06-2026,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,88,87.13,67.33,0,Theory,No,No,No,Sunny,No,9
23-06-2026,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,B,Computer Lab,101,65,64.36,87.13,0,Theory,No,No,No,Cloudy,No,8
23-06-2026,Tuesday,4,11:15:00,12:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,87,86.14,64.36,0,Theory,No,No,No,Sunny,No,6
23-06-2026,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,MCA,B,Computer Lab,101,82,81.19,86.14,1.25,Theory,No,No,No,Sunny,No,4
24-06-2026,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,68,66.02,,,Theory,No,No,No,Rainy,No,9
24-06-2026,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,88,85.44,66.02,0,Theory,No,No,No,Cloudy,No,9
24-06-2026,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,A,Computer Lab,103,88,85.44,85.44,0,Theory,No,No,No,Cloudy,No,8
24-06-2026,Wednesday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,A,Computer Lab,103,91,88.35,85.44,0,Theory,No,No,No,Cloudy,No,7
24-06-2026,Wednesday,5,13:30:00,15:30:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,96,93.2,88.35,1.25,Practical,No,No,No,Sunny,No,6
24-06-2026,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,75,74.26,,,Theory,No,No,No,Sunny,No,9
24-06-2026,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,78,77.23,74.26,0,Theory,No,Yes,No,Rainy,No,9
24-06-2026,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,B,Computer Lab,101,83,82.18,77.23,0,Theory,No,No,No,Rainy,No,8
24-06-2026,Wednesday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,B,Computer Lab,101,81,80.2,82.18,0,Theory,No,No,No,Cloudy,No,7
24-06-2026,Wednesday,5,13:30:00,15:30:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,87,86.14,80.2,1.25,Practical,No,No,No,Rainy,No,6
25-06-2026,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,84,81.55,,,Practical,No,Yes,No,Sunny,No,9
25-06-2026,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,69,66.99,81.55,0,Practical,No,No,No,Cloudy,No,9
25-06-2026,Thursday,3,10:15:00,11:15:00,Mini Project,F_RSZ,3,MCA,A,Computer Lab,103,103,100,66.99,0,Practical,No,No,No,Cloudy,No,15
25-06-2026,Thursday,4,11:15:00,12:15:00,Mini Project,F_RSZ,3,MCA,A,Computer Lab,103,91,88.35,100,0,Practical,No,No,No,Cloudy,No,15
25-06-2026,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,65,64.36,,,Practical,No,No,No,Rainy,No,9
25-06-2026,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,75,74.26,64.36,0,Practical,No,No,No,Rainy,No,9
25-06-2026,Thursday,3,10:15:00,11:15:00,Mini Project,F_RSZ,3,MCA,B,Computer Lab,101,98,97.03,74.26,0,Practical,No,No,No,Rainy,No,15
25-06-2026,Thursday,4,11:15:00,12:15:00,Mini Project,F_RSZ,3,MCA,B,Computer Lab,101,62,61.39,97.03,0,Practical,No,No,No,Rainy,Yes,15
26-06-2026,Friday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,84,81.55,,,Theory,Yes,No,No,Cloudy,No,9
26-06-2026,Friday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,67,65.05,81.55,0,Theory,Yes,Yes,No,Cloudy,No,9
26-06-2026,Friday,3,10:15:00,11:15:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,A,Computer Lab,103,90,87.38,65.05,0,Theory,Yes,No,No,Sunny,No,12
26-06-2026,Friday,4,11:15:00,12:15:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,A,Computer Lab,103,83,80.58,87.38,0,Theory,Yes,No,No,Cloudy,No,12
26-06-2026,Friday,5,13:30:00,15:30:00,STQA Practical,F_DPY,3,MCA,A,Computer Lab,103,91,88.35,80.58,1.25,Practical,Yes,No,No,Sunny,No,6
26-06-2026,Friday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,82,81.19,,,Theory,Yes,No,No,Sunny,No,9
26-06-2026,Friday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,84,83.17,81.19,0,Theory,Yes,No,No,Cloudy,No,9
26-06-2026,Friday,3,10:15:00,11:15:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,B,Computer Lab,101,71,70.3,83.17,0,Theory,Yes,No,No,Rainy,No,12
26-06-2026,Friday,4,11:15:00,12:15:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,B,Computer Lab,101,96,95.05,70.3,0,Theory,Yes,No,No,Sunny,No,12
26-06-2026,Friday,5,13:30:00,15:30:00,STQA Practical,F_DPY,3,MCA,B,Computer Lab,101,77,76.24,95.05,1.25,Practical,Yes,No,No,Rainy,No,6
27-06-2026,Saturday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,85,82.52,,,Theory,Yes,No,No,Cloudy,No,9
27-06-2026,Saturday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,98,95.15,82.52,0,Theory,Yes,No,No,Rainy,No,9
27-06-2026,Saturday,3,10:15:00,11:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,A,Computer Lab,103,89,86.41,95.15,0,Theory,Yes,No,No,Cloudy,No,7
27-06-2026,Saturday,4,11:15:00,12:15:00,Data Science & Machine Learning,F_SP,3,MCA,A,Computer Lab,103,82,79.61,86.41,0,Theory,Yes,No,No,Sunny,Yes,8
27-06-2026,Saturday,5,13:30:00,15:30:00,DS & ML Practical,F_MLK,3,MCA,A,Computer Lab,103,92,89.32,79.61,1.25,Practical,Yes,No,No,Cloudy,No,11
27-06-2026,Saturday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,81,80.2,,,Theory,Yes,No,No,Cloudy,No,9
27-06-2026,Saturday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,63,62.38,80.2,0,Theory,Yes,No,No,Cloudy,Yes,9
27-06-2026,Saturday,3,10:15:00,11:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,B,Computer Lab,101,100,99.01,62.38,0,Theory,Yes,Yes,No,Rainy,No,7
27-06-2026,Saturday,4,11:15:00,12:15:00,Data Science & Machine Learning,F_SP,3,MCA,B,Computer Lab,101,94,93.07,99.01,0,Theory,Yes,No,No,Sunny,No,8
27-06-2026,Saturday,5,13:30:00,15:30:00,DS & ML Practical,F_MLK,3,MCA,B,Computer Lab,101,73,72.28,93.07,1.25,Practical,Yes,No,No,Sunny,Yes,11
29-06-2026,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,42,40.78,,,Theory,Yes,No,No,Cloudy,No,9
29-06-2026,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,82,79.61,40.78,0,Theory,Yes,No,No,Sunny,No,9
29-06-2026,Monday,3,10:15:00,11:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,74,71.84,79.61,0,Theory,Yes,No,No,Rainy,No,6
29-06-2026,Monday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,A,Computer Lab,103,68,66.02,71.84,0,Theory,Yes,No,No,Rainy,No,7
29-06-2026,Monday,5,13:30:00,15:30:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,A,Computer Lab,103,85,82.52,66.02,1.25,Theory,Yes,No,No,Sunny,No,12
29-06-2026,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,76,75.25,,,Theory,Yes,No,No,Cloudy,No,9
29-06-2026,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,68,67.33,75.25,0,Theory,Yes,Yes,No,Cloudy,No,9
29-06-2026,Monday,3,10:15:00,11:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,82,81.19,67.33,0,Theory,Yes,No,No,Sunny,No,6
29-06-2026,Monday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,B,Computer Lab,101,85,84.16,81.19,0,Theory,Yes,No,No,Sunny,No,7
29-06-2026,Monday,5,13:30:00,15:30:00,Innovation and Entrepreneurship Development,F_JSP,3,MCA,B,Computer Lab,101,76,75.25,84.16,1.25,Theory,Yes,No,No,Cloudy,No,12
30-06-2026,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,82,79.61,,,Theory,Yes,Yes,No,Cloudy,No,9
30-06-2026,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,90,87.38,79.61,0,Theory,Yes,No,No,Rainy,No,9
30-06-2026,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,A,Computer Lab,103,97,94.17,87.38,0,Theory,Yes,No,No,Sunny,No,8
30-06-2026,Tuesday,4,11:15:00,12:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,91,88.35,94.17,0,Theory,Yes,No,No,Cloudy,No,6
30-06-2026,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,MCA,A,Computer Lab,103,87,84.47,88.35,1.25,Theory,Yes,No,No,Cloudy,No,4
30-06-2026,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,83,82.18,,,Theory,Yes,No,No,Cloudy,No,9
30-06-2026,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,84,83.17,82.18,0,Theory,Yes,No,No,Cloudy,No,9
30-06-2026,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,B,Computer Lab,101,101,100,83.17,0,Theory,Yes,No,No,Sunny,No,8
30-06-2026,Tuesday,4,11:15:00,12:15:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,81,80.2,100,0,Theory,Yes,No,No,Rainy,No,6
30-06-2026,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,MCA,B,Computer Lab,101,79,78.22,80.2,1.25,Theory,Yes,No,No,Rainy,No,4
01-07-2026,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,62,60.19,,,Theory,Yes,No,After,Rainy,No,9
01-07-2026,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,69,66.99,60.19,0,Theory,Yes,No,After,Sunny,No,9
01-07-2026,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,A,Computer Lab,103,78,75.73,66.99,0,Theory,Yes,No,After,Cloudy,No,8
01-07-2026,Wednesday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,A,Computer Lab,103,60,58.25,75.73,0,Theory,Yes,No,After,Rainy,No,7
01-07-2026,Wednesday,5,13:30:00,15:30:00,Software Testing and Quality Assurance,F_DPY,3,MCA,A,Computer Lab,103,73,70.87,58.25,1.25,Practical,Yes,No,After,Cloudy,No,6
01-07-2026,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,72,71.29,,,Theory,Yes,No,After,Sunny,No,9
01-07-2026,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,B,Computer Lab,101,71,70.3,71.29,0,Theory,Yes,No,After,Sunny,No,9
01-07-2026,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,MCA,B,Computer Lab,101,58,57.43,70.3,0,Theory,Yes,No,After,Rainy,No,8
01-07-2026,Wednesday,4,11:15:00,12:15:00,Principles of Cloud Management and Security,F_KSD,3,MCA,B,Computer Lab,101,76,75.25,57.43,0,Theory,Yes,No,After,Sunny,No,7
01-07-2026,Wednesday,5,13:30:00,15:30:00,Software Testing and Quality Assurance,F_DPY,3,MCA,B,Computer Lab,101,59,58.42,75.25,1.25,Practical,Yes,No,After,Rainy,No,6
02-07-2026,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,70,67.96,,,Practical,No,No,No,Rainy,No,9
02-07-2026,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,MCA,A,Computer Lab,103,92,89.32,67.96,0,Practical,No,No,No,Cloudy,No,9
