Date,Day_of_Week,Lecture_Number,Start_Time,End_Time,Subject,Faculty_ID,Semester,Branch,Section,Classroom,Total_Enrolled_Students,Students_Present,Attendance_Percentage,Previous_Lecture_Attendance_Pct,Gap_Since_Previous_Lecture_Hours,Practical_or_Theory,Internal_Test_Week,Assignment_Due,Holiday_Before_After,Weather,Special_Event,Faculty_Experience_Years,Is_First_Lecture_Of_Day,Calculated_Attendance_Pct,Day_Of_Semester,Week_Number,Days_Since_Last_Holiday,Consecutive_Lecture_Count,Rolling_Avg_Prev_3_Lectures,Time_Of_Day,Week_Before_Exam
2026-06-16,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,64,63.37,-1.0,0.0,Theory,No,Yes,Before,Cloudy,No,9,1,63.37,2,1,-1,4,43.71666666666667,Morning,Yes
2026-06-16,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,72,69.9,-1.0,0.0,Theory,No,No,Before,Sunny,No,9,1,69.9,2,1,-1,9,48.00666666666666,Morning,Yes
2026-06-16,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,81,80.2,63.37,0.0,Theory,No,No,Before,Sunny,No,9,0,80.2,2,1,-1,5,62.24666666666667,Morning,Yes
2026-06-16,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,75,72.82,69.9,0.0,Theory,No,No,Before,Sunny,No,9,0,72.82,2,1,-1,8,71.15666666666667,Morning,Yes
2026-06-16,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,Mca,B,Computer Lab,101,69,68.32,80.2,0.0,Theory,No,No,Before,Cloudy,No,8,0,68.32,2,1,-1,3,74.30666666666667,Morning,Yes
2026-06-16,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,Mca,A,Computer Lab,103,66,64.08,72.82,0.0,Theory,No,No,Before,Cloudy,No,8,0,64.08,2,1,-1,7,73.77999999999999,Morning,Yes
2026-06-16,Tuesday,4,11:15:00,12:15:00,Software Testing And Quality Assurance,F_DPY,3,Mca,B,Computer Lab,101,56,55.45,68.32,0.0,Theory,No,No,Before,Rainy,No,6,0,55.45,2,1,-1,2,68.40666666666665,Morning,Yes
2026-06-16,Tuesday,4,11:15:00,12:15:00,Software Testing And Quality Assurance,F_DPY,3,Mca,A,Computer Lab,103,80,77.67,64.08,0.0,Theory,No,No,Before,Cloudy,No,6,0,77.67,2,1,-1,6,62.61666666666667,Morning,Yes
2026-06-16,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,Mca,B,Computer Lab,101,69,68.32,55.45,1.25,Theory,No,No,Before,Sunny,No,4,0,68.32,2,1,-1,1,65.73333333333333,Before Lunch,Yes
2026-06-16,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,Mca,A,Computer Lab,103,75,72.82,77.67,1.25,Theory,No,No,Before,Sunny,No,4,0,72.82,2,1,-1,10,67.14666666666666,Before Lunch,Yes
2026-06-17,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,21,20.79,-1.0,0.0,Theory,No,Yes,Before,Rainy,No,9,1,20.79,3,1,-1,5,72.93666666666667,Morning,Yes
2026-06-17,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,61,59.22,-1.0,0.0,Theory,No,No,Before,Rainy,No,9,1,59.22,3,1,-1,9,53.97666666666666,Morning,Yes
2026-06-17,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,68,67.33,20.79,0.0,Theory,No,Yes,Before,Cloudy,No,9,0,67.33,3,1,-1,4,50.94333333333333,Morning,Yes
2026-06-17,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,80,77.67,59.22,0.0,Theory,No,No,Before,Cloudy,No,9,0,77.67,3,1,-1,8,49.11333333333334,Morning,Yes
2026-06-17,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,Mca,B,Computer Lab,101,82,81.19,67.33,0.0,Theory,No,No,Before,Rainy,No,8,0,81.19,3,1,-1,3,68.07333333333334,Morning,Yes
2026-06-17,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,Mca,A,Computer Lab,103,53,51.46,77.67,0.0,Theory,No,No,Before,Rainy,No,8,0,51.46,3,1,-1,7,75.39666666666666,Morning,Yes
2026-06-17,Wednesday,4,11:15:00,12:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,B,Computer Lab,101,74,73.27,81.19,0.0,Theory,No,No,Before,Cloudy,No,7,0,73.27,3,1,-1,2,70.10666666666667,Morning,Yes
2026-06-17,Wednesday,4,11:15:00,12:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,A,Computer Lab,103,90,87.38,51.46,0.0,Theory,No,No,Before,Sunny,No,7,0,87.38,3,1,-1,10,68.64,Morning,Yes
2026-06-17,Wednesday,5,13:30:00,15:30:00,Software Testing And Quality Assurance,F_DPY,3,Mca,B,Computer Lab,101,56,55.45,73.27,1.25,Practical,No,No,Before,Rainy,No,6,0,55.45,3,1,-1,1,70.70333333333333,Before Lunch,Yes
2026-06-17,Wednesday,5,13:30:00,15:30:00,Software Testing And Quality Assurance,F_DPY,3,Mca,A,Computer Lab,103,59,57.28,87.38,1.25,Practical,No,No,Before,Sunny,No,6,0,57.28,3,1,-1,6,72.03333333333333,Before Lunch,Yes
2026-06-18,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,78,77.23,-1.0,0.0,Practical,No,No,No,Rainy,No,9,1,77.23,4,1,-1,4,66.70333333333333,Morning,Yes
2026-06-18,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,72,69.9,-1.0,0.0,Practical,No,No,No,Rainy,No,9,1,69.9,4,1,-1,5,63.320000000000014,Morning,Yes
2026-06-18,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,82,81.19,77.23,0.0,Practical,No,No,No,Rainy,No,9,0,81.19,4,1,-1,1,68.13666666666667,Morning,Yes
2026-06-18,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,81,78.64,69.9,0.0,Practical,No,No,No,Rainy,No,9,0,78.64,4,1,-1,7,76.10666666666667,Morning,Yes
2026-06-18,Thursday,3,10:15:00,11:15:00,Mini Project,F_RSZ,3,Mca,B,Computer Lab,101,97,96.04,81.19,0.0,Practical,No,No,No,Sunny,No,15,0,96.04,4,1,-1,3,76.57666666666667,Morning,Yes
2026-06-18,Thursday,3,10:15:00,11:15:00,Mini Project,F_RSZ,3,Mca,A,Computer Lab,103,92,89.32,78.64,0.0,Practical,No,No,No,Cloudy,No,15,0,89.32,4,1,-1,6,85.29,Morning,Yes
2026-06-18,Thursday,4,11:15:00,12:15:00,Mini Project,F_RSZ,3,Mca,B,Computer Lab,101,92,91.09,96.04,0.0,Practical,No,No,No,Cloudy,No,15,0,91.09,4,1,-1,2,88.0,Morning,Yes
2026-06-18,Thursday,4,11:15:00,12:15:00,Mini Project,F_RSZ,3,Mca,A,Computer Lab,103,81,78.64,89.32,0.0,Practical,No,No,No,Rainy,No,15,0,78.64,4,1,-1,8,92.15000000000002,Morning,Yes
2026-06-19,Friday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,66,65.35,-1.0,0.0,Theory,No,No,No,Cloudy,No,9,1,65.35,5,1,-1,5,86.35000000000001,Morning,Yes
2026-06-19,Friday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,64,62.14,-1.0,0.0,Theory,No,No,No,Rainy,No,9,1,62.14,5,1,-1,9,78.36,Morning,Yes
2026-06-19,Friday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,88,87.13,65.35,0.0,Theory,No,No,No,Sunny,No,9,0,87.13,5,1,-1,4,68.71,Morning,Yes
2026-06-19,Friday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,81,78.64,62.14,0.0,Theory,No,No,No,Sunny,No,9,0,78.64,5,1,-1,8,71.54,Morning,Yes
2026-06-19,Friday,3,10:15:00,11:15:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,B,Computer Lab,101,98,97.03,87.13,0.0,Theory,No,No,No,Sunny,No,12,0,97.03,5,1,-1,3,75.97000000000001,Morning,Yes
2026-06-19,Friday,3,10:15:00,11:15:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,A,Computer Lab,103,62,60.19,78.64,0.0,Theory,No,No,No,Cloudy,Yes,12,0,60.19,5,1,-1,7,87.60000000000001,Morning,Yes
2026-06-19,Friday,4,11:15:00,12:15:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,B,Computer Lab,101,67,66.34,97.03,0.0,Theory,No,No,No,Rainy,No,12,0,66.34,5,1,-1,2,78.62,Morning,Yes
2026-06-19,Friday,4,11:15:00,12:15:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,A,Computer Lab,103,74,71.84,60.19,0.0,Theory,No,No,No,Rainy,No,12,0,71.84,5,1,-1,6,74.52,Morning,Yes
2026-06-19,Friday,5,13:30:00,15:30:00,Stqa Practical,F_DPY,3,Mca,B,Computer Lab,101,61,60.4,66.34,1.25,Practical,No,No,No,Sunny,Yes,6,0,60.4,5,1,-1,1,66.12333333333333,Before Lunch,Yes
2026-06-19,Friday,5,13:30:00,15:30:00,Stqa Practical,F_DPY,3,Mca,A,Computer Lab,103,61,59.22,71.84,1.25,Practical,No,No,No,Cloudy,No,6,0,59.22,5,1,-1,10,66.19333333333334,Before Lunch,Yes
2026-06-20,Saturday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,87,86.14,-1.0,0.0,Theory,No,No,No,Sunny,No,9,1,86.14,6,1,-1,5,63.82,Morning,Yes
2026-06-20,Saturday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,82,79.61,-1.0,0.0,Theory,No,No,No,Cloudy,No,9,1,79.61,6,1,-1,6,68.58666666666667,Morning,Yes
2026-06-20,Saturday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,71,70.3,86.14,0.0,Theory,No,No,No,Sunny,No,9,0,70.3,6,1,-1,1,74.99000000000001,Morning,Yes
2026-06-20,Saturday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,76,73.79,79.61,0.0,Theory,No,No,No,Rainy,No,9,0,73.79,6,1,-1,9,78.68333333333334,Morning,Yes
2026-06-20,Saturday,3,10:15:00,11:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,B,Computer Lab,101,69,68.32,70.3,0.0,Theory,No,No,No,Sunny,No,7,0,68.32,6,1,-1,4,74.56666666666668,Morning,Yes
2026-06-20,Saturday,3,10:15:00,11:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,A,Computer Lab,103,86,83.5,73.79,0.0,Theory,No,No,No,Cloudy,No,7,0,83.5,6,1,-1,8,70.80333333333334,Morning,Yes
2026-06-20,Saturday,4,11:15:00,12:15:00,Data Science & Machine Learning,F_SP,3,Mca,B,Computer Lab,101,92,91.09,68.32,0.0,Theory,No,No,No,Cloudy,No,8,0,91.09,6,1,-1,3,75.20333333333333,Morning,Yes
2026-06-20,Saturday,4,11:15:00,12:15:00,Data Science & Machine Learning,F_SP,3,Mca,A,Computer Lab,103,83,80.58,83.5,0.0,Theory,No,No,No,Cloudy,No,8,0,80.58,6,1,-1,7,80.97000000000001,Morning,Yes
2026-06-20,Saturday,5,13:30:00,15:30:00,Ds & Ml Practical,F_MLK,3,Mca,B,Computer Lab,101,86,85.15,91.09,1.25,Practical,No,No,No,Sunny,No,11,0,85.15,6,1,-1,2,85.05666666666667,Before Lunch,Yes
2026-06-20,Saturday,5,13:30:00,15:30:00,Ds & Ml Practical,F_MLK,3,Mca,A,Computer Lab,103,66,64.08,80.58,1.25,Practical,No,No,No,Rainy,No,11,0,64.08,6,1,-1,10,85.60666666666668,Before Lunch,Yes
2026-06-22,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,67,66.34,-1.0,0.0,Theory,No,No,No,Sunny,No,9,1,66.34,8,2,-1,4,76.60333333333335,Morning,Yes
2026-06-22,Monday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,71,68.93,-1.0,0.0,Theory,No,No,No,Sunny,No,9,1,68.93,8,2,-1,10,71.85666666666668,Morning,Yes
2026-06-22,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,64,63.37,66.34,0.0,Theory,No,No,No,Cloudy,No,9,0,63.37,8,2,-1,1,66.45,Morning,Yes
2026-06-22,Monday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,63,61.17,68.93,0.0,Theory,No,No,No,Rainy,No,9,0,61.17,8,2,-1,9,66.21333333333335,Morning,Yes
2026-06-22,Monday,3,10:15:00,11:15:00,Software Testing And Quality Assurance,F_DPY,3,Mca,B,Computer Lab,101,57,56.44,63.37,0.0,Theory,No,No,No,Rainy,No,6,0,56.44,8,2,-1,5,64.49000000000001,Morning,Yes
2026-06-22,Monday,3,10:15:00,11:15:00,Software Testing And Quality Assurance,F_DPY,3,Mca,A,Computer Lab,103,71,68.93,61.17,0.0,Theory,No,Yes,No,Cloudy,No,6,0,68.93,8,2,-1,7,60.326666666666675,Morning,Yes
2026-06-22,Monday,4,11:15:00,12:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,B,Computer Lab,101,63,62.38,56.44,0.0,Theory,No,No,No,Rainy,No,7,0,62.38,8,2,-1,3,62.18000000000001,Morning,Yes
2026-06-22,Monday,4,11:15:00,12:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,A,Computer Lab,103,68,66.02,68.93,0.0,Theory,No,No,No,Cloudy,No,7,0,66.02,8,2,-1,6,62.58333333333334,Morning,Yes
2026-06-22,Monday,5,13:30:00,15:30:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,B,Computer Lab,101,53,52.48,62.38,1.25,Theory,No,No,No,Rainy,No,12,0,52.48,8,2,-1,2,65.77666666666669,Before Lunch,Yes
2026-06-22,Monday,5,13:30:00,15:30:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,A,Computer Lab,103,69,66.99,66.02,1.25,Theory,No,Yes,No,Sunny,No,12,0,66.99,8,2,-1,8,60.293333333333344,Before Lunch,Yes
2026-06-23,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,68,67.33,-1.0,0.0,Theory,No,No,No,Rainy,No,9,1,67.33,9,2,-1,5,61.83000000000001,Morning,Yes
2026-06-23,Tuesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,81,78.64,-1.0,0.0,Theory,No,No,No,Cloudy,No,9,1,78.64,9,2,-1,10,62.26666666666667,Morning,Yes
2026-06-23,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,88,87.13,67.33,0.0,Theory,No,No,No,Sunny,No,9,0,87.13,9,2,-1,4,70.98666666666668,Morning,Yes
2026-06-23,Tuesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,90,87.38,78.64,0.0,Theory,No,No,No,Sunny,No,9,0,87.38,9,2,-1,9,77.7,Morning,Yes
2026-06-23,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,Mca,B,Computer Lab,101,65,64.36,87.13,0.0,Theory,No,No,No,Cloudy,No,8,0,64.36,9,2,-1,3,84.38333333333334,Morning,Yes
2026-06-23,Tuesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,Mca,A,Computer Lab,103,90,87.38,87.38,0.0,Theory,No,No,No,Sunny,No,8,0,87.38,9,2,-1,8,79.62333333333333,Morning,Yes
2026-06-23,Tuesday,4,11:15:00,12:15:00,Software Testing And Quality Assurance,F_DPY,3,Mca,B,Computer Lab,101,87,86.14,64.36,0.0,Theory,No,No,No,Sunny,No,6,0,86.14,9,2,-1,2,79.70666666666666,Morning,Yes
2026-06-23,Tuesday,4,11:15:00,12:15:00,Software Testing And Quality Assurance,F_DPY,3,Mca,A,Computer Lab,103,76,73.79,87.38,0.0,Theory,No,No,No,Rainy,No,6,0,73.79,9,2,-1,7,79.29333333333334,Morning,Yes
2026-06-23,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,Mca,B,Computer Lab,101,82,81.19,86.14,1.25,Theory,No,No,No,Sunny,No,4,0,81.19,9,2,-1,1,82.43666666666668,Before Lunch,Yes
2026-06-23,Tuesday,5,13:30:00,15:30:00,Industry Readiness Program,F_Visiting,3,Mca,A,Computer Lab,103,80,77.67,73.79,1.25,Theory,No,No,No,Cloudy,No,4,0,77.67,9,2,-1,6,80.37333333333335,Before Lunch,Yes
2026-06-24,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,75,74.26,-1.0,0.0,Theory,No,No,No,Sunny,No,9,1,74.26,10,2,-1,5,77.55000000000001,Morning,Yes
2026-06-24,Wednesday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,68,66.02,-1.0,0.0,Theory,No,No,No,Rainy,No,9,1,66.02,10,2,-1,9,77.70666666666666,Morning,Yes
2026-06-24,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,78,77.23,74.26,0.0,Theory,No,Yes,No,Rainy,No,9,0,77.23,10,2,-1,4,72.65,Morning,Yes
2026-06-24,Wednesday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,88,85.44,66.02,0.0,Theory,No,No,No,Cloudy,No,9,0,85.44,10,2,-1,8,72.50333333333334,Morning,Yes
2026-06-24,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,Mca,B,Computer Lab,101,83,82.18,77.23,0.0,Theory,No,No,No,Rainy,No,8,0,82.18,10,2,-1,3,76.23000000000002,Morning,Yes
2026-06-24,Wednesday,3,10:15:00,11:15:00,Data Science & Machine Learning,F_SP,3,Mca,A,Computer Lab,103,88,85.44,85.44,0.0,Theory,No,No,No,Cloudy,No,8,0,85.44,10,2,-1,7,81.61666666666667,Morning,Yes
2026-06-24,Wednesday,4,11:15:00,12:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,B,Computer Lab,101,81,80.2,82.18,0.0,Theory,No,No,No,Cloudy,No,7,0,80.2,10,2,-1,2,84.35333333333334,Morning,Yes
2026-06-24,Wednesday,4,11:15:00,12:15:00,Principles Of Cloud Management And Security,F_KSD,3,Mca,A,Computer Lab,103,91,88.35,85.44,0.0,Theory,No,No,No,Cloudy,No,7,0,88.35,10,2,-1,6,82.60666666666667,Morning,Yes
2026-06-24,Wednesday,5,13:30:00,15:30:00,Software Testing And Quality Assurance,F_DPY,3,Mca,B,Computer Lab,101,87,86.14,80.2,1.25,Practical,No,No,No,Rainy,No,6,0,86.14,10,2,-1,1,84.66333333333334,Before Lunch,Yes
2026-06-24,Wednesday,5,13:30:00,15:30:00,Software Testing And Quality Assurance,F_DPY,3,Mca,A,Computer Lab,103,96,93.2,88.35,1.25,Practical,No,No,No,Sunny,No,6,0,93.2,10,2,-1,10,84.89666666666666,Before Lunch,Yes
2026-06-25,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,65,64.36,-1.0,0.0,Practical,No,No,No,Rainy,No,9,1,64.36,11,2,-1,1,89.23000000000002,Morning,Yes
2026-06-25,Thursday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,84,81.55,-1.0,0.0,Practical,No,Yes,No,Sunny,No,9,1,81.55,11,2,-1,2,81.23333333333335,Morning,Yes
2026-06-25,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,69,66.99,81.55,0.0,Practical,No,No,No,Cloudy,No,9,0,66.99,11,2,-1,3,79.70333333333335,Morning,Yes
2026-06-25,Thursday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,75,74.26,64.36,0.0,Practical,No,No,No,Rainy,No,9,0,74.26,11,2,-1,6,70.96666666666668,Morning,Yes
2026-06-25,Thursday,3,10:15:00,11:15:00,Mini Project,F_RSZ,3,Mca,A,Computer Lab,103,103,100.0,66.99,0.0,Practical,No,No,No,Cloudy,No,15,0,100.0,11,2,-1,4,74.26666666666667,Morning,Yes
2026-06-25,Thursday,3,10:15:00,11:15:00,Mini Project,F_RSZ,3,Mca,B,Computer Lab,101,98,97.03,74.26,0.0,Practical,No,No,No,Rainy,No,15,0,97.03,11,2,-1,7,80.41666666666667,Morning,Yes
2026-06-25,Thursday,4,11:15:00,12:15:00,Mini Project,F_RSZ,3,Mca,A,Computer Lab,103,91,88.35,100.0,0.0,Practical,No,No,No,Cloudy,No,15,0,88.35,11,2,-1,5,90.43000000000002,Morning,Yes
2026-06-25,Thursday,4,11:15:00,12:15:00,Mini Project,F_RSZ,3,Mca,B,Computer Lab,101,62,61.39,97.03,0.0,Practical,No,No,No,Rainy,Yes,15,0,61.39,11,2,-1,8,95.12666666666667,Morning,Yes
2026-06-26,Friday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,82,81.19,-1.0,0.0,Theory,Yes,No,No,Sunny,No,9,1,81.19,12,2,-1,5,82.25666666666667,Morning,Yes
2026-06-26,Friday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,84,81.55,-1.0,0.0,Theory,Yes,No,No,Cloudy,No,9,1,81.55,12,2,-1,6,76.97666666666667,Morning,Yes
2026-06-26,Friday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,84,83.17,81.19,0.0,Theory,Yes,No,No,Cloudy,No,9,0,83.17,12,2,-1,2,74.71000000000001,Morning,Yes
2026-06-26,Friday,2,09:15:00,10:15:00,Mobile Application Development,F_SSP,3,Mca,A,Computer Lab,103,67,65.05,81.55,0.0,Theory,Yes,Yes,No,Cloudy,No,9,0,65.05,12,2,-1,9,81.97000000000001,Morning,Yes
2026-06-26,Friday,3,10:15:00,11:15:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,B,Computer Lab,101,71,70.3,83.17,0.0,Theory,Yes,No,No,Rainy,No,12,0,70.3,12,2,-1,1,76.59,Morning,Yes
2026-06-26,Friday,3,10:15:00,11:15:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,A,Computer Lab,103,90,87.38,65.05,0.0,Theory,Yes,No,No,Sunny,No,12,0,87.38,12,2,-1,8,72.84000000000002,Morning,Yes
2026-06-26,Friday,4,11:15:00,12:15:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,B,Computer Lab,101,96,95.05,70.3,0.0,Theory,Yes,No,No,Sunny,No,12,0,95.05,12,2,-1,4,74.24333333333334,Morning,Yes
2026-06-26,Friday,4,11:15:00,12:15:00,Innovation And Entrepreneurship Development,F_JSP,3,Mca,A,Computer Lab,103,83,80.58,87.38,0.0,Theory,Yes,No,No,Cloudy,No,12,0,80.58,12,2,-1,7,84.24333333333334,Morning,Yes
2026-06-26,Friday,5,13:30:00,15:30:00,Stqa Practical,F_DPY,3,Mca,B,Computer Lab,101,77,76.24,95.05,1.25,Practical,Yes,No,No,Rainy,No,6,0,76.24,12,2,-1,3,87.67,Before Lunch,Yes
2026-06-26,Friday,5,13:30:00,15:30:00,Stqa Practical,F_DPY,3,Mca,A,Computer Lab,103,91,88.35,80.58,1.25,Practical,Yes,No,No,Sunny,No,6,0,88.35,12,2,-1,10,83.95666666666666,Before Lunch,Yes
2026-06-27,Saturday,1,08:30:00,09:15:00,Mobile Application Development,F_SSP,3,Mca,B,Computer Lab,101,81,80.2,-1.0,0.0,Theory,Yes,No,No,Cloudy,No,9,1,80.2,13,2,-1,5,81.72333333333334,Morning,Yes
